Dominic Poleon	2014/2015	6.08
Martin Skrtel	2014/2015	6.49
Martin Skrtel	2014/2015	7.46
Martin Skrtel	2013/2014	7.45
Martin Skrtel	2012/2013	7.03
Martin Skrtel	2012/2013	6.96
Martin Skrtel	2011/2012	6.93
Martin Skrtel	2010/2011	6.83
Martin Skrtel	2009/2010	6.92
Raheem Sterling	2014/2015	6.89
Raheem Sterling	2014/2015	7.34
Raheem Sterling	2013/2014	7.40
Raheem Sterling	2014	6.54
Raheem Sterling	2012/2013	6.14
Raheem Sterling	2012/2013	6.98
Lucas Leiva	2014/2015	6.86
Lucas Leiva	2014/2015	7.29
Lucas Leiva	2013/2014	7.08
Lucas Leiva	2012/2013	6.74
Lucas Leiva	2012/2013	7.24
Lucas Leiva	2011/2012	7.40
Lucas Leiva	2010/2011	7.22
Lucas Leiva	2009/2010	7.25
Jordan Henderson	2014/2015	6.79
Jordan Henderson	2014/2015	7.19
Jordan Henderson	2013/2014	7.22
Jordan Henderson	2014	6.71
Jordan Henderson	2013	6.33
Jordan Henderson	2012/2013	6.91
Jordan Henderson	2012/2013	6.81
Jordan Henderson	2012	6.20
Jordan Henderson	2011/2012	6.68
Jordan Henderson	2010/2011	7.05
Dejan Lovren	2014/2015	7.10
Dejan Lovren	2014/2015	7.08
Dejan Lovren	2013/2014	7.32
Dejan Lovren	2014	6.66
Dejan Lovren	2012/2013	6.57
Dejan Lovren	2012/2013	6.85
Dejan Lovren	2011/2012	7.01
Dejan Lovren	2011/2012	6.74
Dejan Lovren	2010/2011	7.11
Dejan Lovren	2010/2011	6.94
Daniel Sturridge	2014/2015	7.08
Daniel Sturridge	2013/2014	7.46
Daniel Sturridge	2014	6.85
Daniel Sturridge	2012/2013	6.11
Daniel Sturridge	2012/2013	7.65
Daniel Sturridge	2012/2013	6.41
Daniel Sturridge	2011/2012	6.77
Daniel Sturridge	2011/2012	6.88
Daniel Sturridge	2010/2011	6.83
Daniel Sturridge	2010/2011	6.11
Daniel Sturridge	2010/2011	7.11
Daniel Sturridge	2009/2010	6.06
Alberto Moreno	2014/2015	6.95
Alberto Moreno	2014/2015	6.95
Alberto Moreno	2013/2014	6.92
Alberto Moreno	2013/2014	6.97
Alberto Moreno	2013	7.20
Alberto Moreno	2012/2013	6.93
Steven Gerrard	2014/2015	7.08
Steven Gerrard	2014/2015	6.93
Steven Gerrard	2013/2014	7.77
Steven Gerrard	2014	6.30
Steven Gerrard	2012/2013	6.89
Steven Gerrard	2012/2013	7.55
Steven Gerrard	2012	7.75
Steven Gerrard	2011/2012	7.03
Steven Gerrard	2010/2011	7.52
Steven Gerrard	2009/2010	7.22
Simon Mignolet	2014/2015	6.57
Simon Mignolet	2014/2015	6.92
Simon Mignolet	2013/2014	6.71
Simon Mignolet	2012/2013	7.02
Simon Mignolet	2011/2012	6.91
Bradley Jones	2014/2015	6.92
Bradley Jones	2012/2013	6.54
Bradley Jones	2012/2013	6.73
Adam Lallana	2014/2015	6.47
Adam Lallana	2014/2015	6.92
Adam Lallana	2013/2014	7.24
Adam Lallana	2014	6.16
Javier Manquillo	2014/2015	7.18
Javier Manquillo	2014/2015	6.91
Javier Manquillo	2013/2014	7.30
Javier Manquillo	2013/2014	7.74
Javier Manquillo	2012/2013	6.97
Kolo Touré	2014/2015	7.24
Kolo Touré	2014/2015	6.87
Kolo Touré	2013/2014	6.91
Kolo Touré	2014	6.38
Kolo Touré	2012/2013	6.77
Kolo Touré	2011/2012	6.32
Kolo Touré	2011/2012	6.57
Kolo Touré	2010/2011	7.10
Philippe Coutinho	2014/2015	6.58
Philippe Coutinho	2014/2015	6.75
Philippe Coutinho	2013/2014	7.45
Philippe Coutinho	2012/2013	6.48
Philippe Coutinho	2012/2013	7.24
Philippe Coutinho	2012/2013	7.30
Philippe Coutinho	2011/2012	6.96
Philippe Coutinho	2011/2012	6.95
Philippe Coutinho	2011/2012	6.18
Philippe Coutinho	2010/2011	6.75
Mamadou Sakho	2014/2015	6.73
Mamadou Sakho	2014/2015	6.70
Mamadou Sakho	2013/2014	7.05
Mamadou Sakho	2014	7.16
Mamadou Sakho	2012/2013	6.58
Mamadou Sakho	2012/2013	7.14
Mamadou Sakho	2011/2012	6.62
Mamadou Sakho	2010/2011	7.23
Joe Allen	2014/2015	6.48
Joe Allen	2014/2015	6.60
Joe Allen	2013/2014	6.90
Joe Allen	2012/2013	6.92
Joe Allen	2012/2013	6.63
Mario Balotelli	2014/2015	6.91
Mario Balotelli	2014/2015	6.49
Mario Balotelli	2013/2014	7.31
Mario Balotelli	2013/2014	6.89
Mario Balotelli	2014	6.47
Mario Balotelli	2013	7.22
Mario Balotelli	2012/2013	8.21
Mario Balotelli	2012/2013	6.34
Mario Balotelli	2012/2013	6.37
Mario Balotelli	2012	6.72
Mario Balotelli	2011/2012	7.23
Mario Balotelli	2011/2012	7.06
Mario Balotelli	2010/2011	6.82
Mario Balotelli	2009/2010	7.33
Lazar Markovic	2014/2015	6.11
Lazar Markovic	2014/2015	6.30
Lazar Markovic	2013/2014	6.42
Lazar Markovic	2013/2014	6.50
Rickie Lambert	2014/2015	6.62
Rickie Lambert	2014/2015	6.26
Rickie Lambert	2013/2014	6.99
Rickie Lambert	2014	5.97
José Enrique	2014/2015	7.20
José Enrique	2014/2015	6.24
José Enrique	2013/2014	6.85
José Enrique	2012/2013	6.63
José Enrique	2012/2013	7.01
José Enrique	2011/2012	6.83
Fabio Borini	2014/2015	6.13
Fabio Borini	2014/2015	6.13
Fabio Borini	2013/2014	6.80
Fabio Borini	2013	7.33
Fabio Borini	2012/2013	6.54
Fabio Borini	2012/2013	6.37
Fabio Borini	2011/2012	6.93
Fabio Borini	2009/2010	6.17
Cesc Fàbregas	2014/2015	7.83
Cesc Fàbregas	2014/2015	7.73
Cesc Fàbregas	2013/2014	7.31
Cesc Fàbregas	2013/2014	6.71
Cesc Fàbregas	2014	6.58
Cesc Fàbregas	2013	7.04
Cesc Fàbregas	2012/2013	7.45
Cesc Fàbregas	2012/2013	6.73
Cesc Fàbregas	2012	6.92
Cesc Fàbregas	2011/2012	7.44
Cesc Fàbregas	2011/2012	7.35
Cesc Fàbregas	2010/2011	7.41
Cesc Fàbregas	2010/2011	7.55
Cesc Fàbregas	2009/2010	8.08
Eden Hazard	2014/2015	8.55
Eden Hazard	2014/2015	7.71
Eden Hazard	2013/2014	7.41
Eden Hazard	2013/2014	7.67
Eden Hazard	2014	7.44
Eden Hazard	2012/2013	7.31
Eden Hazard	2012/2013	7.39
Eden Hazard	2012/2013	7.35
Eden Hazard	2011/2012	7.49
Eden Hazard	2011/2012	7.84
Eden Hazard	2010/2011	7.47
Nemanja Matic	2014/2015	8.07
Nemanja Matic	2014/2015	7.36
Nemanja Matic	2013/2014	6.84
Nemanja Matic	2013/2014	7.63
Nemanja Matic	2012/2013	7.24
Nemanja Matic	2012/2013	6.81
Nemanja Matic	2011/2012	6.59
Oscar	2014/2015	6.87
Oscar	2014/2015	7.35
Oscar	2013/2014	7.14
Oscar	2013/2014	7.04
Oscar	2014	7.39
Oscar	2013	7.13
Oscar	2012/2013	6.48
Oscar	2012/2013	7.74
Branislav Ivanovic	2014/2015	7.07
Branislav Ivanovic	2014/2015	7.32
Branislav Ivanovic	2013/2014	7.35
Branislav Ivanovic	2013/2014	7.29
Branislav Ivanovic	2012/2013	6.91
Branislav Ivanovic	2012/2013	6.81
Branislav Ivanovic	2012/2013	7.11
Branislav Ivanovic	2011/2012	7.62
Branislav Ivanovic	2011/2012	7.12
Branislav Ivanovic	2010/2011	7.31
Branislav Ivanovic	2010/2011	7.23
Branislav Ivanovic	2009/2010	7.51
César Azpilicueta	2014/2015	7.52
César Azpilicueta	2014/2015	7.09
César Azpilicueta	2013/2014	7.37
César Azpilicueta	2013/2014	7.26
César Azpilicueta	2014	6.44
César Azpilicueta	2013	6.58
César Azpilicueta	2012/2013	6.82
César Azpilicueta	2012/2013	6.44
César Azpilicueta	2012/2013	6.99
César Azpilicueta	2012/2013	7.29
César Azpilicueta	2011/2012	7.37
César Azpilicueta	2011/2012	6.77
César Azpilicueta	2010/2011	7.77
César Azpilicueta	2010/2011	7.11
John Terry	2014/2015	7.23
John Terry	2014/2015	6.97
John Terry	2013/2014	6.89
John Terry	2013/2014	7.13
John Terry	2012/2013	7.03
John Terry	2012/2013	6.48
John Terry	2012/2013	7.06
John Terry	2012	7.28
John Terry	2011/2012	6.97
John Terry	2011/2012	7.11
John Terry	2010/2011	7.30
John Terry	2010/2011	7.31
John Terry	2009/2010	7.00
Gary Cahill	2014/2015	6.98
Gary Cahill	2014/2015	6.97
Gary Cahill	2013/2014	7.01
Gary Cahill	2013/2014	7.29
Gary Cahill	2014	7.21
Gary Cahill	2012/2013	7.21
Gary Cahill	2012/2013	6.83
Gary Cahill	2012/2013	7.07
Gary Cahill	2011/2012	6.46
Gary Cahill	2011/2012	6.97
Gary Cahill	2011/2012	6.93
Gary Cahill	2010/2011	7.30
Thibaut Courtois	2014/2015	6.80
Thibaut Courtois	2014/2015	6.89
Thibaut Courtois	2013/2014	6.73
Thibaut Courtois	2013/2014	6.87
Thibaut Courtois	2014	6.86
Thibaut Courtois	2012/2013	6.83
Willian	2014/2015	7.26
Willian	2014/2015	6.83
Willian	2013/2014	7.15
Willian	2013/2014	7.94
Willian	2013/2014	7.22
Willian	2014	6.35
Willian	2012/2013	6.91
Willian	2012/2013	8.17
Willian	2011/2012	7.34
Filipe Luis	2014/2015	7.34
Filipe Luis	2014/2015	6.59
Filipe Luis	2013/2014	7.24
Filipe Luis	2013/2014	7.23
Filipe Luis	2012/2013	7.26
Filipe Luis	2012/2013	7.12
Filipe Luis	2011/2012	7.38
Filipe Luis	2010/2011	7.02
André Schürrle	2014/2015	6.91
André Schürrle	2014/2015	6.51
André Schürrle	2013/2014	6.85
André Schürrle	2013/2014	6.89
André Schürrle	2014	6.99
André Schürrle	2012/2013	7.67
André Schürrle	2012/2013	7.21
André Schürrle	2012	6.58
André Schürrle	2011/2012	7.37
André Schürrle	2011/2012	6.92
André Schürrle	2010/2011	7.25
