West Bromwich Albion	http://www.whoscored.com/Teams/175
Chelsea	http://www.whoscored.com/Teams/15
Manchester United	http://www.whoscored.com/Teams/32
Arsenal	http://www.whoscored.com/Teams/13
Tottenham	http://www.whoscored.com/Teams/30
Manchester City	http://www.whoscored.com/Teams/167
Aston Villa	http://www.whoscored.com/Teams/24
Liverpool	http://www.whoscored.com/Teams/26
Everton	http://www.whoscored.com/Teams/31
Birmingham	http://www.whoscored.com/Teams/157
Blackburn	http://www.whoscored.com/Teams/158
Stoke	http://www.whoscored.com/Teams/96
Fulham	http://www.whoscored.com/Teams/170
Sunderland	http://www.whoscored.com/Teams/16
Bolton	http://www.whoscored.com/Teams/92
Wolverhampton Wanderers	http://www.whoscored.com/Teams/161
Wigan	http://www.whoscored.com/Teams/194
West Ham	http://www.whoscored.com/Teams/29
Burnley	http://www.whoscored.com/Teams/184
Hull	http://www.whoscored.com/Teams/214
Portsmouth	http://www.whoscored.com/Teams/169
Manchester United	http://www.whoscored.com/Teams/32
Chelsea	http://www.whoscored.com/Teams/15
Manchester City	http://www.whoscored.com/Teams/167
Arsenal	http://www.whoscored.com/Teams/13
Tottenham	http://www.whoscored.com/Teams/30
Liverpool	http://www.whoscored.com/Teams/26
Everton	http://www.whoscored.com/Teams/31
Fulham	http://www.whoscored.com/Teams/170
Aston Villa	http://www.whoscored.com/Teams/24
Sunderland	http://www.whoscored.com/Teams/16
West Bromwich Albion	http://www.whoscored.com/Teams/175
Newcastle United	http://www.whoscored.com/Teams/23
Stoke	http://www.whoscored.com/Teams/96
Bolton	http://www.whoscored.com/Teams/92
Blackburn	http://www.whoscored.com/Teams/158
Wigan	http://www.whoscored.com/Teams/194
Wolverhampton Wanderers	http://www.whoscored.com/Teams/161
Birmingham	http://www.whoscored.com/Teams/157
Blackpool	http://www.whoscored.com/Teams/93
West Ham	http://www.whoscored.com/Teams/29
Manchester City	http://www.whoscored.com/Teams/167
Manchester United	http://www.whoscored.com/Teams/32
Arsenal	http://www.whoscored.com/Teams/13
Tottenham	http://www.whoscored.com/Teams/30
Newcastle United	http://www.whoscored.com/Teams/23
Chelsea	http://www.whoscored.com/Teams/15
Everton	http://www.whoscored.com/Teams/31
Liverpool	http://www.whoscored.com/Teams/26
Fulham	http://www.whoscored.com/Teams/170
West Bromwich Albion	http://www.whoscored.com/Teams/175
Swansea	http://www.whoscored.com/Teams/259
Norwich	http://www.whoscored.com/Teams/168
Sunderland	http://www.whoscored.com/Teams/16
Stoke	http://www.whoscored.com/Teams/96
Wigan	http://www.whoscored.com/Teams/194
Aston Villa	http://www.whoscored.com/Teams/24
Queens Park Rangers	http://www.whoscored.com/Teams/171
Bolton	http://www.whoscored.com/Teams/92
Blackburn	http://www.whoscored.com/Teams/158
Wolverhampton Wanderers	http://www.whoscored.com/Teams/161
Manchester United	http://www.whoscored.com/Teams/32
Manchester City	http://www.whoscored.com/Teams/167
Chelsea	http://www.whoscored.com/Teams/15
Arsenal	http://www.whoscored.com/Teams/13
Tottenham	http://www.whoscored.com/Teams/30
Everton	http://www.whoscored.com/Teams/31
Liverpool	http://www.whoscored.com/Teams/26
West Bromwich Albion	http://www.whoscored.com/Teams/175
Swansea	http://www.whoscored.com/Teams/259
West Ham	http://www.whoscored.com/Teams/29
Norwich	http://www.whoscored.com/Teams/168
Fulham	http://www.whoscored.com/Teams/170
Stoke	http://www.whoscored.com/Teams/96
Southampton	http://www.whoscored.com/Teams/18
Aston Villa	http://www.whoscored.com/Teams/24
Newcastle United	http://www.whoscored.com/Teams/23
Sunderland	http://www.whoscored.com/Teams/16
Wigan	http://www.whoscored.com/Teams/194
Reading	http://www.whoscored.com/Teams/94
Queens Park Rangers	http://www.whoscored.com/Teams/171
Manchester City	http://www.whoscored.com/Teams/167
Liverpool	http://www.whoscored.com/Teams/26
Chelsea	http://www.whoscored.com/Teams/15
Arsenal	http://www.whoscored.com/Teams/13
Everton	http://www.whoscored.com/Teams/31
Tottenham	http://www.whoscored.com/Teams/30
Manchester United	http://www.whoscored.com/Teams/32
Southampton	http://www.whoscored.com/Teams/18
Stoke	http://www.whoscored.com/Teams/96
Newcastle United	http://www.whoscored.com/Teams/23
Crystal Palace	http://www.whoscored.com/Teams/162
Swansea	http://www.whoscored.com/Teams/259
West Ham	http://www.whoscored.com/Teams/29
Sunderland	http://www.whoscored.com/Teams/16
Aston Villa	http://www.whoscored.com/Teams/24
Hull	http://www.whoscored.com/Teams/214
West Bromwich Albion	http://www.whoscored.com/Teams/175
Norwich	http://www.whoscored.com/Teams/168
Fulham	http://www.whoscored.com/Teams/170
Cardiff	http://www.whoscored.com/Teams/188
